,word,occurrences,percentile
872,虽然,3004,0.9754697460200914
74,八,2997,0.9754363715248807
3701,臭,2996,0.9754029970296699
113,接,2989,0.9753696225344591
686,卡,2987,0.9753195607916431
2121,距,2987,0.9753195607916431
1298,你好,2986,0.9752694990488269
428,要求,2975,0.9752361245536161
2648,节目,2973,0.9751860628108
1886,勒,2973,0.9751860628108
1255,货,2962,0.9751360010679838
1864,对了,2955,0.9751026265727731
443,名,2951,0.9750692520775623
2184,大学,2946,0.9750358775823516
529,广州,2945,0.9750025030871408
5289,不见,2943,0.9749691285919301
812,差不多,2942,0.9749357540967193
3503,李,2926,0.9749023796015085
3174,关,2922,0.9748690051062978
1066,新闻,2910,0.974835630611087
1013,内,2909,0.9748022561158762
2613,脚,2905,0.9747688816206654
925,明显,2904,0.9747355071254548
461,版,2898,0.974702132630244
912,组织,2897,0.9746687581350332
1513,非,2891,0.9746353836398225
509,呜呜,2890,0.9746020091446117
1226,或者,2889,0.9745686346494009
1373,试试,2885,0.9745352601541901
2923,刚刚,2876,0.9745018856589794
859,真心,2873,0.9744685111637686
85,块,2869,0.9744184494209525
3822,无奈,2869,0.9744184494209525
3044,麻,2858,0.9743683876781364
543,老子,2857,0.9743350131829256
3827,日本,2854,0.9743016386877148
196,场,2851,0.9742682641925041
1501,这次,2848,0.9742348896972933
3473,试,2845,0.9742015152020825
4367,教,2844,0.9741681407068719
5046,洗,2843,0.9741347662116611
2143,约,2839,0.9741013917164503
2248,鱼,2837,0.9740680172212395
184,简直,2836,0.9740346427260288
2479,呸,2832,0.9739845809832126
1404,楼,2832,0.9739845809832126
642,一切,2830,0.9739345192403965
562,未,2821,0.9738844574975803
983,见到,2821,0.9738844574975803
1410,票,2819,0.9738343957547642
450,专业,2816,0.9738010212595535
104,混,2804,0.9737676467643427
2011,蛋,2790,0.9737342722691319
1177,表,2785,0.9736842105263158
1797,相当,2785,0.9736842105263158
357,呵,2782,0.9736341487834996
1369,那天,2776,0.9735840870406836
2678,出现,2776,0.9735840870406836
2975,宝宝,2770,0.9735340252978674
914,竟然,2768,0.9735006508026566
2967,一些,2759,0.9734672763074459
5298,每次,2755,0.9734339018122351
1349,选择,2754,0.9734005273170243
3677,课,2753,0.9733671528218135
2505,健康,2747,0.9733337783266028
507,却,2739,0.973300403831392
5094,夜,2724,0.9732670293361813
1475,家里,2723,0.9732336548409706
1059,推荐,2718,0.9732002803457598
2933,上次,2711,0.973166905850549
3981,道理,2709,0.9731335313553382
4184,政府,2705,0.9731001568601275
4792,于,2700,0.9730500951173113
796,解释,2700,0.9730500951173113
1109,辣,2697,0.9730000333744953
